"","kba","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","nature_access_rural_6hr","nature_access_rural_1hr","nature_access_urban_6hr","nature_access_urban_1hr","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"106",242,0,0,0,0,7.35763424621204,0,6080.95617188734,1725.36421174296,2.75019962693927,0,2.79250323589218,0,456.328766968094,21109712.5898438,10578113.3398438,30271968.4375,2219262.52929688,12853427.4375,110027.256591797,117.147663637996,0,44572.2975370586,18014.0900286473,4553
"107",243,0,0,0,0,0.35713097960885,0,866.67152645329,134.541921583543,0.188177668832444,0,0.0534759350121021,0,55.0179216254873,3077705.5,582911.53125,3867683.625,193940.63671875,3027870.125,319705.484375,30.4702243804932,0,67604.5484857559,13449.2299278975,296
"108",256,0,0,0,0,0,0,2053.32726756171,192.340652978128,0,0.472305029630661,0.45647248045749,0,12.4802727665543,27027426,2611023.25,40146.08984375,40146.08984375,0,0,4.43711709976196,0,2186563.75,211242.859375,73
"109",257,0,0,0,0,0.0116310949797237,0,5594.56197284941,591.241014678306,0.0105454720708842,0.00567035470157862,0.33681121794728,0,24.9605455331087,56963552,6628522.75,80292.1796875,80292.1796875,0,0,0,0,5826332.125,688881.31640625,172
"110",259,0,0,0,0,8.41270574094441,0,14007.1137187317,2089.49807476666,0.230127454466156,13.3941425870871,0.43357050246889,0,450.827659839765,10205767.65625,1505496.81347656,22371533.2646484,100610.539701462,9907721.28125,0,0.0713959079948836,0,10092.8234644085,1491.83442787966,9619
"111",260,0,0,0,0,12.137588133831,0,4207.25268871269,1956.2409517272,0.395670941900355,0.17559455987066,0.102426853238435,130.685921669006,452.86883192837,5070922.21017075,2481308.27498817,24503347.484375,96097.008682251,20618311.5253906,0,0.0614608508201968,0,246.42050161806,142.298999470205,5778
"112",262,0,0,0,0,5.45594626383919,0,4.24492187515104,3.22013701395752,0.317009984979653,0.0207973646465689,0.359878222566025,86.7908170223236,0,80605.7838375568,62098.5796616077,14837407.515625,32940.0873680115,7035543.54101562,0,0.0417950706111867,0,181.017884346307,136.57463443224,5605
"113",265,0,307.08227789402,299.382853746414,307.08227789402,0.756389420087885,0.0288605672990913,0,0,0.0343270268839167,0,0,76.2075926065445,0,2882.12060165405,2828.3826084137,479320.41796875,28753.7661056519,0,0,0.0028917725867359,0,0,0,1121
"114",269,0,0,0,0,3.0655746125116,0,41.7041760416765,28.5275686242637,0.193581543520151,0.0192748596891761,0.390464368557622,14.8406054973602,0,128242.775634766,107369.172363281,6811464.3125,71357.444152832,3222113.0625,0,0.0248956642338083,0,281.776910566725,240.504763200646,2859
"115",271,0,46.9176187515259,11.3030862808228,46.9176187515259,0.0556695718934063,0.000918575357004207,0,0,0.00276002788028815,0,0,11.1801519393921,0,271.39208984375,264.981262207031,19699.4721679688,4288.95983886719,0,0,0.000455938803497702,0,0,0,114
"116",273,0,622.155563354492,390.013991355896,622.155563354492,0.788950698198158,0,0,0,0.0094107068904879,0,0,26.9353312253952,0,1600.96250915527,1578.40127563477,45965.4350585938,20532.8721923828,0,0,0.00139655619386758,0,0,0,417
