,kba,coastal_protection_reef,coastal_protection,coastal_protection_offshore,coastal_protection_onshore,commercial_timber,domestic_timber,flood_nathab,flood_mitigation_500km,flood_mitigation_50km,fuelwood,fwfish,grazing,marinefish,moisture_recycling,nitrogen_retention_500km,nitrogen_retention_50km,rural_nature_access_360,rural_nature_access_60,urban_nature_access_360,urban_nature_access_60,pollination,reef_tourism,sediment_deposition_500km,sediment_deposition_50km,vulnerable_carbon
15957,25196,0,0,0,0,0,0.43044141,11532.89977,115.5944066,6.150138707,0.422561879,0,0.348864343,0,25.3751751,3859446.188,554659.5645,253.0924702,250.1479654,0,0,0.002062942,0,82708.52225,8603.082462,712
15958,14916,0,0,0,0,87.11660696,9.458089478,823091.1112,58408.8422,13938.66887,92.73778602,0.757308574,63.99534042,0,3109.06524,1383649479,286664413.1,59093.38376,60613.13497,28518.56266,14159.76709,43.08200814,0,394124482.2,79807914.79,54405
15959,100289,0,0,0,0,1.30372017,0.00049747,7906.29259,266.3863757,103.1971433,1.664725814,0.043756402,0.820036088,0,14.82008588,14058520.5,5874147.375,1593.775734,3341.0481,0,0,0.391287821,0,2738266.776,1165491.535,581
15960,20440,0,0,0,0,27.55432517,69.58600899,1019439.117,329499.183,69570.49433,84.2135273,1.765209086,0,0,2774.937702,1902464356,477772570.9,45302.60266,44240.49841,204.7392349,0,1.811130151,0,23379883.22,6962177.291,178229
15961,100285,0,0,0,0,8.753569209,3.522651982,152706.3201,19210.97442,5128.612792,4.426042484,0,0,0,142.704981,74426516.55,24412233.32,2436.157321,1578.753137,49.8477478,0,0.13917916,0,1207526.581,515909.6667,16037
15962,23471,0,0,0,0,0,5.631120568,332620.7828,69659.00487,10434.79823,4.6472926,0.783914158,0.021390373,0,1780.003617,434006193.7,73161718.94,3403.506083,3125.906956,0,0,1.321665094,0,8404949.113,1381546.705,83923
15963,23469,0,0,0,0,0,2.139308989,352521.9545,67659.37318,23903.7091,1.533271768,0.543565346,0,0,1278.579958,251598470.3,86749521.79,1436.490549,1720.635795,0,0,0.02197318,0,1850563.866,703655.1866,66707
15964,23470,0,25697.07281,20217.1981,16812.85443,18.46862144,38.09756546,558140.164,177877.1296,122255.0143,29.12410578,0.971752757,2.985776653,39.66979341,2780.54461,218063107.7,125000717.4,40967.90966,25919.06458,0,0,12.78056903,0,2852513.388,1529116.827,199994
15965,23488,0,8296.101891,1761.243751,8084.525363,0,2.121720954,49422.85877,564.3598794,475.5114688,0.555288054,0.192479844,0.657422035,60.08000252,213.2541582,400052.0431,348388.8221,4398.239595,1411.045544,0,0,0.410550388,0,642.2382094,530.0835422,28126
15966,23475,0,0,0,0,89.943259,0,6126960.775,138701.8126,97948.15441,5.141794543,0.110806886,0,0,218.8590124,475044080,410966441.6,29208.3739,12611.93442,84923.92787,81995.00322,4.550970598,0,7793466.491,6942685.221,11472
15967,26678,0,0,0,0,8.023043599,0,147593.4437,22015.68186,5582.932628,0.795330873,0,0,0,11.61178873,117439991.3,59862879.5,1471.089324,554.7493733,6043.162659,0,0.035566102,0,1129000.723,599385.6329,1051
15968,23478,0,0,0,0,48.01295377,0,1403448.925,45344.94584,15595.10161,7.50200982,0,0,0,114.1215075,125093196.7,52209764.06,10057.41361,4585.124495,3899.498215,0,18.27954207,0,3206127.414,1285176.535,6076
15969,100296,0,0,0,0,0.996901941,0,29788.61727,2820.454194,839.2414845,1.963239985,0.033139258,1.047574504,0,10.57695214,15364929.5,5191343.375,1764.097939,424.5231433,361.9568939,0,3.991239676,0,10592.14063,3438.373901,362
15970,100284,0,29024.85038,15441.4154,21885.26236,27.32151675,0,595.5516437,10077.7165,7829.704795,2.725570786,0.105232395,0,12.8025091,0.667140761,3849329.513,3190287.248,7330.620903,2509.779678,352.8320217,0,1.944977645,64,105256.0863,88712.74191,6344
15971,14430,0,0,0,0,3.838066818,0.125892207,534384.1713,3358.434169,423.3149009,0.666404367,0.06374418,0,0,33.94396764,18118959.25,2333933.625,368.0137825,62.63116384,67.37991524,0,0.016846881,0,110390.6091,14227.12132,898
15972,100286,0,0,0,0,0.081948447,6.349426366,27859.39608,325.2417981,34.30454159,4.123313276,0,0.880991142,0,249.5707386,35488027.38,8424429.641,4202.224958,6017.527698,0,0,0.033146908,0,7529168.044,1825721.538,2534
15973,47169,0,0,0,0,0.067435987,0.541152675,5927.136479,199.688673,80.07580927,0.631558008,0.035685298,1.448585594,0,3.850972322,9936718.75,4238810.156,797.5033646,1013.284803,310.8796539,0,0.752475413,0,10294094.16,4372044.406,377
15974,26760,0,0,0,0,0,0.463737037,48842.85698,572.642529,116.4097365,0.274638056,0,0,0,241.4937878,18533081.3,6140760.382,1733.146769,416.3757662,0,0,0.02974939,0,1137922.854,457654.3261,3915
15975,26758,0,0,0,0,0.905514127,2.700442808,29237.59132,3205.599566,1332.573249,6.51962718,0.312711201,13.59652885,0,190.6774838,172329017.8,69067270.38,6556.714571,4242.911676,12730.81097,0,0.308896175,0,46827467.31,19816279.4,1815
15976,100288,0,0,0,0,5.464221709,20.70928596,318372.7456,4968.743952,788.6426434,30.23479716,0.318788288,27.87399252,0,2673.061574,253914289.6,50340857.31,21668.78134,23710.43912,761.7849197,0,0.229691094,0,64239529.91,11613249.94,31201
15977,24461,0,0,0,0,0,15.35431439,1429318.775,26216.95213,1316.70053,14.72408304,0.121601593,3.297803635,0,2176.521762,588248303.6,34882078.69,7799.238951,8579.179176,0,0,4.508762113,0,47857573.1,3150131.547,83179
15978,100290,0,0,0,0,9.46400762,0.573568262,107677.9861,2123.531648,344.3322638,0.490621488,0.174803297,11.36117127,0,630.2950157,104617107.1,16682087.2,1475.803712,2146.011643,0,0,0.336442021,0,19494746.04,3239160.133,10009
15979,100294,0,0,0,0,4.866540022,0.447469612,55792.641,480.6260254,117.9600312,3.3145909,0.630437816,0.088550062,0,347.63183,27333210.13,10737778.39,5849.802312,9123.982861,2219.751709,5009.291931,0.039666595,0,8209354.68,3319411.96,4808
15980,29760,0,0,0,0,5.839741064,1.638333603,22413.02326,476.0760944,6.409429264,8.841553979,0.019041489,1.279080904,0,301.6026571,16845754.41,961522.501,3659.609217,6926.274773,0,0,0.231637404,0,4397592.216,391887.9566,3154
