"","country","country_id","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_nathab","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","rural_nature_access_360","rural_nature_access_60","urban_nature_access_360","urban_nature_access_60","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"44","China","CHN",0,47289482.1421771,7960703.55918901,8467078.34198206,53525.3401492468,35088.9422502278,49813768056.3155,1842019462.91928,351096092.833971,108341.531275208,102057.183047205,109045.935952921,52483.5559082031,7603274.6134147,26413047923222,3389160838520.1,198475991.794364,148243333.655132,100423542.069371,62836579.5342352,2186268.40642292,408,823506318233.708,84364543525.1179,51379652
"45","China","Z02",0,0,0,0,0,0.0218504243530333,8089.42312802413,89.3768027943279,1.03301261559214,0.00523343437816948,0.0520176813006401,0,0,89.5798630755581,216610251.703125,2567743.20501709,109.573638837785,143.125666543841,0,0,0,0,18172048.3365614,222381.255772076,4535
"46","China","Z03",0,0,0,0,0,0.102580491363018,649640.735940551,41289.0797685662,3993.85481454064,0.0423671347633023,0.297916209790856,0,0,7746.27315917225,3579570512.95643,59225445.040014,1784.63942891146,1122.89091038052,0,0,0.00156279011337962,0,429889406.377041,8438247.67456513,76848
"47","China","Z08",0,0,0,0,0,0.000310372343592136,677885.729290084,4832.04549088469,87.737565011436,0.000108885195086739,0.379123856313527,5.08412101637681e-05,0,162.068442551887,736657454,7527936.80615234,314.581147848046,26.6194449812174,0,0,0,0,165457683.575743,1723820.28267165,2449
"48","Côte d'Ivoire","CIV",0,263572.310567469,171185.033784091,100103.971266314,3578.16432195548,838.014827831323,218460791.420133,14276988.6887676,2035653.88824404,4619.67272005227,7901.49420913355,2024.86254319817,5135.77781486511,177530.582763679,170010186283.492,9286424415.17884,3712538.08001256,3191412.08718188,1783932.84139224,1139003.51960419,4903.78914111546,0,1597126866.14107,204461850.902165,2035228
"49","Cameroon","CMR",0,553622.673301511,328539.664153313,394084.496987174,24850.3173948608,2057.42416523696,1383164117.08298,42595052.3581366,6998801.70288415,11198.2325892192,13724.0108942544,5166.96775487526,9989.17663383484,654032.023932024,580835204798.742,35568346799.9236,8902225.4256846,7987765.69166514,3929363.68438502,2521958.20427114,6218.43656929425,0,4282182306.71094,457953602.92288,10653290
"50","Democratic Republic of the Congo","COD",0,391397.664490769,157444.159987736,303304.218042682,92393.0906893198,17747.5645034166,15144049165.2409,163021663.424496,12581085.7909933,50019.7820736695,137349.03190446,1257.17381389995,886.88779592514,5090309.99050236,1768224121283.17,130200557383.689,36707400.7426668,31888724.6891328,14504869.5441878,9266008.38502871,1567.15568815804,0,40494976275.7964,4276935490.21568,59689924
"51","Republic of the Congo","COG",0,315848.099307537,236418.743803964,62370.7134575844,2736.05639453005,781.783110493049,2685277462.83854,30412190.0837167,1871858.96099614,1197.68262220498,19649.2376510984,320.48525840942,83.6034622192383,560238.689773328,181590833068.479,10667654727.0939,1646834.47956619,1465115.08859485,1708668.88164309,1397603.93714559,334.586113835198,0,3861741962.99291,325335784.991672,11672158
"52","Cook Islands","COK",0,27002.3776486665,14944.8190590739,0,0,0,0,0,0,0,0,0,0.0569489635527134,0,0,0,0,0,0,0,0,115,0,0,0
"53","Colombia","COL",0,2933251.00858144,1367900.98501819,1510670.65068747,17446.8779782856,3902.16677068158,3241439630.46229,52704480.9444206,9900299.50081119,9128.19138205617,18135.2753515574,18443.3946586363,154.159330850467,1600698.67919209,439477513283.934,91371822877.3674,11208722.1640533,10573992.7986265,18275976.4452495,13721617.1805164,22235.1414228361,396,24922600942.7665,5962154878.09494,31699723
